Gene/Locus,Gene/Locus_name,Gene/Locus_MIM_number,Phenotype,Phenotype_MIM_number,Inheritance,Comments,Gene
"CFB, BF, GBG, AHUS4, ARMD14, CFBD",Complement factor B,138470,?Complement factor B deficiency,615561,-,mutation identified in 1 CFBD family,CFB
"CFB, BF, GBG, AHUS4, ARMD14, CFBD",Complement factor B,138470,"{Hemolytic uremic syndrome, atypical, susceptibility to, 4}",612924,AD,-,CFB
"CFB, BF, GBG, AHUS4, ARMD14, CFBD",Complement factor B,138470,"{Macular degeneration, age-related, 14, reduced risk of}",615489,-,-,CFB
"SKIV2L, SKI2, SKI2W, THES2","Superkiller viralicidic activity 2, S. cerevisiae, homolog, like",600478,Trichohepatoenteric syndrome 2,614602,AR,-,SKIV2L
"C4A, C4S, C4AD",Complement component-4A,120810,C4a deficiency,614380,AR,"order: HLA-B, C2, BF, C4A, C4B, CYP21, DR",C4A
"C4A, C4S, C4AD",Complement component-4A,120810,"[Blood group, Rodgers]",614374,-,-,C4A
"C4B, C4F, C4BD",Complement component-4B,120820,C4B deficiency,614379,-,10kb from C4S,C4B
"CYP21A2, CYP21, CA21H","Cytochrome P450, subfamily XXIA, polypeptide 2 (steroid 21-hydroxylase)",613815,"Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency",201910,AR,"linked to C2, C4, BF; 2 loci, A and B; only B active; pseudogene CYP21P contiguous on 6p",CYP21A2
"CYP21A2, CYP21, CA21H","Cytochrome P450, subfamily XXIA, polypeptide 2 (steroid 21-hydroxylase)",613815,"Hyperandrogenism, nonclassic type, due to 21-hydroxylase deficiency",201910,AR,-,CYP21A2
"TNXB, TNX, TNXB1, TNXBS, TNXB2, EDSCLL, VUR8",Tenascin XB,600985,"Ehlers-Danlos syndrome, classic-like",606408,AR,-,TNXB
"TNXB, TNX, TNXB1, TNXBS, TNXB2, EDSCLL, VUR8",Tenascin XB,600985,Vesicoureteral reflux 8,615963,AD,-,TNXB
"BTNL2, SS2",Butyrophilin-like protein 2,606000,"{Sarcoidosis, susceptibility to, 2}",612387,AD,-,BTNL2
"HLA-DRB1, SS1","Major histocompatibility complex, class II, DR beta-1",142857,"{Multiple sclerosis, susceptibility to, 1}",126200,Mu,-,HLA-DRB1
"HLA-DRB1, SS1","Major histocompatibility complex, class II, DR beta-1",142857,"{Sarcoidosis, susceptibility to, 1}",181000,AD,-,HLA-DRB1
"HLA-DQA1, CELIAC1","Major histocompatibility complex, class II, DQ alpha-1",146880,"{Celiac disease, susceptibility to}",212750,"Mu,AR",-,HLA-DQA1
"HLA-DQB1, CELIAC1","Major histocompatibility complex, class II, DQ beta-1",604305,"{Celiac disease, susceptibility to}",212750,"Mu,AR",-,HLA-DQB1
"HLA-DQB1, CELIAC1","Major histocompatibility complex, class II, DQ beta-1",604305,"{Creutzfeldt-Jakob disease, variant, resistance to}",123400,AD,-,HLA-DQB1
"HLA-DQB1, CELIAC1","Major histocompatibility complex, class II, DQ beta-1",604305,"{Multiple sclerosis, susceptibility to, 1}",126200,Mu,-,HLA-DQB1
"TAP2, ABCB3, PSF2, RING11","Transporter 2, ATP-binding cassette, subfamily B",170261,"Bare lymphocyte syndrome, type I, due to TAP2 deficiency",604571,AR,tel-TAP1-LMP2-LMP1-TAP2-cen,TAP2
"TAP2, ABCB3, PSF2, RING11","Transporter 2, ATP-binding cassette, subfamily B",170261,Wegener-like granulomatosis,-,-,-,TAP2
"PSMB8, LMP7, RING10, JMP, NKJO, ALDD","Proteasome subunit, beta type, 8 (large multifunctional protease-7)",177046,"Autoinflammation, lipodystrophy, and dermatosis syndrome",256040,AR,between TAP1 and TAP2,PSMB8
"TAP1, ABCB2, RING4, PSF1","Transporter 1, ATP-binding cassette, subfamily B",170260,"Bare lymphocyte syndrome, type I",604571,AR,~7kb telomeric to TAP2,TAP1
"COL11A2, DFNA13, DFNB53, FBCG2, OSMEDA, OSMEDB","Collagen XI, alpha-2 polypeptide",120290,"Deafness, autosomal dominant 13",601868,AD,45kb centromeric of HLA-DPB2; 3'--5'-cen,COL11A2
"COL11A2, DFNA13, DFNB53, FBCG2, OSMEDA, OSMEDB","Collagen XI, alpha-2 polypeptide",120290,"Deafness, autosomal recessive 53",609706,AR,-,COL11A2
"COL11A2, DFNA13, DFNB53, FBCG2, OSMEDA, OSMEDB","Collagen XI, alpha-2 polypeptide",120290,Fibrochondrogenesis 2,614524,"AD,AR",-,COL11A2
"COL11A2, DFNA13, DFNB53, FBCG2, OSMEDA, OSMEDB","Collagen XI, alpha-2 polypeptide",120290,"Otospondylomegaepiphyseal dysplasia, autosomal dominant",184840,AD,-,COL11A2
"COL11A2, DFNA13, DFNB53, FBCG2, OSMEDA, OSMEDB","Collagen XI, alpha-2 polypeptide",120290,"Otospondylomegaepiphyseal dysplasia, autosomal recessive",215150,AR,-,COL11A2
"TAPBP, TPSN",TAP-binding protein (tapasin),601962,"Bare lymphocyte syndrome, type I",604571,AR,-,TAPBP
"SYNGAP1, MRD5",Synaptic Ras GTPase activating protein 1,603384,"Mental retardation, autosomal dominant 5",612621,AD,-,SYNGAP1
"UQCC2, C6orf126, M19",Ubiquinol-cytochrome c reductase complex assembly factor 2,614461,"?Mitochondrial complex III deficiency, nuclear type 7",615824,AR,mutation identified in 1 MC3DN7 patient,UQCC2
"LEMD2, NET25, CTRCT42",LEM domain-containing protein 2,616312,"Cataract 46, juvenile-onset",212500,AR,-,LEMD2
"HMGA1, HMGIY",High-mobility group AT-hook 1,600701,"{Diabetes mellitus, noninsulin-dependent, susceptibility to}",125853,AD,-,HMGA1
"RPS10, DBA9",Ribosomal protein S10,603632,Diamond-Blackfan anemia 9,613308,AD,-,RPS10
"FANCE, FACE","Fanconi anemia, complementation group E gene",613976,"Fanconi anemia, complementation group E",600901,AR,-,FANCE
"TULP1, RP14, LCA15",Tubby-like protein-1,602280,Leber congenital amaurosis 15,613843,AR,-,TULP1
"TULP1, RP14, LCA15",Tubby-like protein-1,602280,Retinitis pigmentosa 14,600132,AR,-,TULP1
"FKBP5, FKBP51",FK506-binding protein 5,602623,{Major depressive disorder and accelerated response to antidepressant drug treatment},608516,-,-,FKBP5
"LHFPL5, TMHS, DFNB67",LHFP-like protein 5,609427,"Deafness, autosomal recessive 67",610265,AR,-,LHFPL5
"SLC26A8, TAT1, SPGF3","Solute carrier family 26 (sulfate transporter), member 8",608480,Spermatogenic failure 3,606766,AD,-,SLC26A8
"PNPLA1, ARCI10",Patatin-like phospholipase domain-containing protein 1,612121,"Ichthyosis, congenital, autosomal recessive 10",615024,AR,-,PNPLA1
"MOCS1, MOCODA",Molybdenum cofactor synthesis-1,603707,Molybdenum cofactor deficiency A,252150,AR,-,MOCS1
TREM2,Triggering receptor expressed on myeloid cells 2,605086,Nasu-Hakola disease,221770,AR,-,TREM2
"GUCA1A, GCAP, COD3, CORD14","Guanylate cyclase activator 1A, retina",600364,Cone dystrophy-3,602093,AD,-,GUCA1A
"GUCA1A, GCAP, COD3, CORD14","Guanylate cyclase activator 1A, retina",600364,Cone-rod dystrophy 14,602093,AD,-,GUCA1A
"GUCA1B, GCAP2, GUCA2, RP48","Guanylate cyclase activator 1B, retina",602275,Retinitis pigmentosa 48,613827,-,-,GUCA1B
"PRPH2, DS, RP7, PRPH, AVMD, AOFMD, CACD2, MDBS1","Peripherin 2, mouse, homolog of",179605,"Choroidal dystrophy, central areolar 2",613105,AD,digenic RP with ROM1,PRPH2
"PRPH2, DS, RP7, PRPH, AVMD, AOFMD, CACD2, MDBS1","Peripherin 2, mouse, homolog of",179605,Leber congenital amaurosis 18,608133,"AD,AR",-,PRPH2
"PRPH2, DS, RP7, PRPH, AVMD, AOFMD, CACD2, MDBS1","Peripherin 2, mouse, homolog of",179605,"Macular dystrophy, patterned, 1",169150,AD,-,PRPH2
"PRPH2, DS, RP7, PRPH, AVMD, AOFMD, CACD2, MDBS1","Peripherin 2, mouse, homolog of",179605,"Macular dystrophy, vitelliform, 3",608161,AD,-,PRPH2
"PRPH2, DS, RP7, PRPH, AVMD, AOFMD, CACD2, MDBS1","Peripherin 2, mouse, homolog of",179605,Retinitis pigmentosa 7 and digenic,608133,"AD,AR",-,PRPH2
"PRPH2, DS, RP7, PRPH, AVMD, AOFMD, CACD2, MDBS1","Peripherin 2, mouse, homolog of",179605,Retinitis punctata albescens,136880,"AD,AR",-,PRPH2
GNMT,Glycine N-methyltransferase,606628,Glycine N-methyltransferase deficiency,606664,AR,-,GNMT
"PEX6, PXAAA1, PAF2, PBD4A, PDB4B, HMLR2",Peroxisomal biogenesis factor 6 (peroxisomal AAA-type ATPase 1),601498,Heimler syndrome 2,616617,AR,-,PEX6
"PEX6, PXAAA1, PAF2, PBD4A, PDB4B, HMLR2",Peroxisomal biogenesis factor 6 (peroxisomal AAA-type ATPase 1),601498,Peroxisome biogenesis disorder 4A (Zellweger),614862,AR,-,PEX6
"PEX6, PXAAA1, PAF2, PBD4A, PDB4B, HMLR2",Peroxisomal biogenesis factor 6 (peroxisomal AAA-type ATPase 1),601498,Peroxisome biogenesis disorder 4B,614863,"AD,AR",-,PEX6
"PPP2R5D, MRD35","Protein phosphatase-2, regulatory subunit B (B56), delta isoform",601646,"Mental retardation, autosomal dominant 35",616355,AD,-,PPP2R5D
"CUL7, 3M1",Cullin 7,609577,3-M syndrome 1,273750,AR,-,CUL7
"POLR1C, RPA39, RPA40, RPAC1, RPA5, TCS3, HLD11","Polymerase I, RNA, subunit C",610060,"Leukodystrophy, hypomyelinating, 11",616494,AR,-,POLR1C
"POLR1C, RPA39, RPA40, RPAC1, RPA5, TCS3, HLD11","Polymerase I, RNA, subunit C",610060,Treacher Collins syndrome 3,248390,AR,-,POLR1C
"POLH, XPV","Polymerase, DNA, eta",603968,"Xeroderma pigmentosum, variant type",278750,AR,-,POLH
"RSPH9, CILD12","Radial spoke head 9, Chlamydomonas, homolog of",612648,"Ciliary dyskinesia, primary, 12",612650,-,-,RSPH9
"VEGF, MVCD1",Vascular endothelial growth factor,192240,{Microvascular complications of diabetes 1},603933,-,-,VEGF
"AARS2, KIAA1270, MTALARS, COXPD8, LKENP",Alanyl-tRNA synthetase 2,612035,Combined oxidative phosphorylation deficiency 8,614096,AR,-,AARS2
"AARS2, KIAA1270, MTALARS, COXPD8, LKENP",Alanyl-tRNA synthetase 2,612035,"Leukoencephalopathy, progressive, with ovarian failure",615889,AR,-,AARS2
"RUNX2, CBFA1, PEBP2A1, AML3, CCD, CLCD",Runt-related transcription factor 2,600211,Cleidocranial dysplasia,119600,AD,-,RUNX2
"RUNX2, CBFA1, PEBP2A1, AML3, CCD, CLCD",Runt-related transcription factor 2,600211,"Cleidocranial dysplasia, forme fruste, dental anomalies only",119600,AD,-,RUNX2
"RUNX2, CBFA1, PEBP2A1, AML3, CCD, CLCD",Runt-related transcription factor 2,600211,"Cleidocranial dysplasia, forme fruste, with brachydactyly",119600,AD,-,RUNX2
"RUNX2, CBFA1, PEBP2A1, AML3, CCD, CLCD",Runt-related transcription factor 2,600211,Metaphyseal dysplasia with maxillary hypoplasia with or without brachydactyly,156510,AD,-,RUNX2
"CLIC5, DFNB103",Chloride intracellular channel 5,607293,"?Deafness, autosomal recessive 103",616042,AR,mutation identified in 1 DFNB103 family,CLIC5
"PLA2G7, PAFAH, PAFAD","Phospholipase A2, group VII (platelet-activating factor acetylhydrolase)",601690,Platelet-activating factor acetylhydrolase deficiency,614278,AR,-,PLA2G7
"PLA2G7, PAFAH, PAFAD","Phospholipase A2, group VII (platelet-activating factor acetylhydrolase)",601690,"{Asthma, susceptibility to}",600807,AD,-,PLA2G7
"PLA2G7, PAFAH, PAFAD","Phospholipase A2, group VII (platelet-activating factor acetylhydrolase)",601690,"{Atopy, susceptibility to}",147050,AD,-,PLA2G7
"CD2AP, CMS",CD2-associated protein,604241,"Glomerulosclerosis, focal segmental, 3",607832,-,-,CD2AP
"MUT, MCM",Methylmalonyl Coenzyme A mutase,609058,"Methylmalonic aciduria, mut(0) type",251000,AR,-,MUT
"RHAG, RH50A, OHST",Rhesus blood group-associated glycoprotein,180297,"Anemia, hemolytic, Rh-null, regulator type",268150,AD,-,RHAG
"RHAG, RH50A, OHST",Rhesus blood group-associated glycoprotein,180297,Overhydrated hereditary stomatocytosis,185000,AD,-,RHAG
"RHAG, RH50A, OHST",Rhesus blood group-associated glycoprotein,180297,Rh-mod syndrome,-,-,-,RHAG
"TFAP2B, CHAR, PDA2",Transcription factor AP-2 beta (activating enhancer-binding protein 2 beta),601601,Char syndrome,169100,AD,-,TFAP2B
"TFAP2B, CHAR, PDA2",Transcription factor AP-2 beta (activating enhancer-binding protein 2 beta),601601,Patent ductus arteriosus 2,617035,AD,-,TFAP2B
"FCYT, PKHD1, ARPKD, PKD4",Fibrocystin,606702,"Polycystic kidney disease 4, with or without hepatic disease",263200,AR,-,FCYT
"IL17F, ML1, CANDF6",Interleukin 17F,606496,"?Candidiasis, familial, 6, autosomal dominant",613956,-,mutation identified in 1 CANDF6 family,IL17F
"EFHC1, FLJ10466, EJM1, JAE, EJA1",EF hand domain (C-terminal)-containing 1,608815,"{Epilepsy, juvenile absence, susceptibility to, 1}",607631,AD,-,EFHC1
"EFHC1, FLJ10466, EJM1, JAE, EJA1",EF hand domain (C-terminal)-containing 1,608815,"{Myoclonic epilepsy, juvenile, susceptibility to, 1}",254770,AD,-,EFHC1
"ICK, MRK, KIAA0936, ECO",Intestinal cell kinase,612325,Endocrine-cerebroosteodysplasia,612651,AR,-,ICK
"ELOVL5, HELO1, SCA38",Elongation of very long chain fatty acids-like 5,611805,Spinocerebellar ataxia 38,615957,AD,-,ELOVL5
"GCLC, GLCLC","Glutamate-cysteine ligase, catalytic subunit",606857,Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency,230450,AR,-,GCLC
"GCLC, GLCLC","Glutamate-cysteine ligase, catalytic subunit",606857,"{Myocardial infarction, susceptibility to}",608446,-,-,GCLC
"DST, BPAG1, DMH, D6S1101, HSAN6, EBSB2",Dystonin (bullous pemphigoid antigen 1),113810,"?Neuropathy, hereditary sensory and autonomic, type VI",614653,AR,?mutation identified in 1 HSAN6 family,DST
"DST, BPAG1, DMH, D6S1101, HSAN6, EBSB2",Dystonin (bullous pemphigoid antigen 1),113810,"Epidermolysis bullosa simplex, autosomal recessive 2",615425,AR,-,DST
RAB23,Ras-associated protein RAB23,606144,Carpenter syndrome,201000,AR,-,RAB23
"DEL6q11q14, C6DELq11q14",Chromosome 6q11-q14 deletion syndrome,613544,Chromosome 6q11-q14 deletion syndrome,613544,IC,contiguous gene deletion syndrome,DEL6q11q14
ADHD3,"Attention deficit-hyperactivity disorder, susceptibility to, 2",608905,{Attention deficit-hyperactivity disorder},143465,AD,-,ADHD3
"EYS, RP25","Eyes shut, Drosophila, homolog of",612424,Retinitis pigmentosa 25,602772,AR,-,EYS
SCZD5,"Schizophrenia susceptibility locus, chromosome 6q-related",603175,{Schizophrenia},181500,AD,max lod at D6S1626 and D6S292,SCZD5
"LMBRD1, LMBD1, NESI, MAHCF",LMBR1 domain-containing protein 1,612625,"Methylmalonic aciduria and homocystinuria, cblF type",277380,AR,-,LMBRD1
"COL9A1, EDM6, STL4","Collagen IX, alpha-1 polypeptide",120210,"?Epiphyseal dysplasia, multiple, 6",614135,AD,mutation identified in 1 EDM6 family,COL9A1
"COL9A1, EDM6, STL4","Collagen IX, alpha-1 polypeptide",120210,"Stickler syndrome, type IV",614134,-,-,COL9A1
"RIMS1, RIM1, RIM, KIAA0340, CORD7",Regulating synaptic membrane exocytosis 1,606629,Cone-rod dystrophy 7,603649,-,-,RIMS1
"KCNQ5, MRD46","Potassium channel, voltage-gated, KQT-like subfamily, member 5",607357,"Mental retardation, autosomal dominant 46",617601,AD,-,KCNQ5
"KHDC3L, C6orf221, ECAT1, HYDM2","KH domain containing 3-like, subcortical maternal complex member",611687,"Hydatidiform mole, recurrent, 2",614293,AR,-,KHDC3L
"MTO1, COXPD10","Mitochondrial translation optimization 1, S. cerevisiae, homolog of",614667,Combined oxidative phosphorylation deficiency 10,614702,AR,-,MTO1
"SLC17A5, SIASD, SLD","Solute carrier family 17 (sodium phosphate), member 5",604322,Salla disease,604369,AR,-,SLC17A5
"SLC17A5, SIASD, SLD","Solute carrier family 17 (sodium phosphate), member 5",604322,"Sialic acid storage disorder, infantile",269920,AR,-,SLC17A5
"COL12A1, UCMD2, BTHLM2","Collagen, type XII, alpha-1",120320,?Ullrich congenital muscular dystrophy 2,616470,-,mutation identified in 1 UCMD2 family,COL12A1
"COL12A1, UCMD2, BTHLM2","Collagen, type XII, alpha-1",120320,Bethlem myopathy 2,616471,-,-,COL12A1
"MYO6, DFNA22, DFNB37",Myosin VI,600970,"Deafness, autosomal dominant 22",606346,AD,-,MYO6
"MYO6, DFNA22, DFNB37",Myosin VI,600970,"Deafness, autosomal dominant 22, with hypertrophic cardiomyopathy",606346,AD,-,MYO6
"MYO6, DFNA22, DFNB37",Myosin VI,600970,"Deafness, autosomal recessive 37",607821,AR,-,MYO6
"IMPG1, IPM150, VMD4",Interphotoreceptor matrix proteoglycan-1,602870,"Macular dystrophy, vitelliform, 4",616151,AD,-,IMPG1
"LCA5, C6orf152",Lebercilin,611408,Leber congenital amaurosis 5,604537,-,-,LCA5
"ELOVL4, ADMD, STGD2, STGD3, ISQMR, SCA34",Elongation of very long chain fatty acids 4,605512,"Ichthyosis, spastic quadriplegia, and mental retardation",614457,AR,-,ELOVL4
"ELOVL4, ADMD, STGD2, STGD3, ISQMR, SCA34",Elongation of very long chain fatty acids 4,605512,Spinocerebellar ataxia 34,133190,AD,-,ELOVL4
"ELOVL4, ADMD, STGD2, STGD3, ISQMR, SCA34",Elongation of very long chain fatty acids 4,605512,Stargardt disease 3,600110,AD,-,ELOVL4
"BCKDHB, E1B","Branched chain keto acid dehydrogenase E1, beta polypeptide",248611,"Maple syrup urine disease, type Ib",248600,AR,-,BCKDHB
"PGM3, AGM1, IMD23",Phosphoglucomutase-3 (N-acetylglucosamine-phosphate mutase 1),172100,Immunodeficiency 23,615816,AR,-,PGM3
"RIPPLY2, C6orf59, SCDO6","Ripply2, zebrafish, homolog of",609891,?Spondylocostal dysostosis 6,616566,AR,mutation identified in 1 SCDO6 family,RIPPLY2
"MRAP2, C6orf117, BMIQ18",Melanocortin 2 receptor accessory protein 2,615410,"{?Obesity, susceptibility to, BMIQ18}",615457,AD,mutation identified in 1 BMIQ18 individual,MRAP2
"TBX18, CAKUT2",T-box 18,604613,Congenital anomalies of kidney and urinary tract 2,143400,AD,-,TBX18
"NT5E, NT5","5' nucleotidase, ecto (CD73)",129190,Calcification of joints and arteries,211800,AR,-,NT5E
"SNX14, SCAR20",Sorting nexin 14,616105,"Spinocerebellar ataxia, autosomal recessive 20",616354,AR,-,SNX14
"SLC35A1, CST, CDG2F","Solute carrier family 35 (CMP-sialic acid transporter), member 1",605634,"Congenital disorder of glycosylation, type IIf",603585,AR,-,SLC35A1
"RARS2, RARSL, PCH6",Arginyl-tRNA synthetase 2,611524,"Pontocerebellar hypoplasia, type 6",611523,AR,-,RARS2
"MAP3K7, TAK1, CSCF, FMD2",Mitogen-activated protein kinase kinase kinase 7,602614,Cardiospondylocarpofacial syndrome,157800,AD,-,MAP3K7
"MAP3K7, TAK1, CSCF, FMD2",Mitogen-activated protein kinase kinase kinase 7,602614,Frontometaphyseal dysplasia 2,617137,AD,-,MAP3K7
"NDUFAF4, HRPAP20, C6orf66","NADH dehydrogenase 1 alpha subcomplex, assembly factor 4",611776,Mitochondrial complex I deficiency,252010,"XLD,Mi,AR",-,NDUFAF4
"FBXL4, FBL4, MTDPS13",F-box and leucine-rich repeat protein 4,605654,Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type),615471,AR,-,FBXL4
"DHS6S1, MCDR1","DNase1 hypersensitivity, chromosome 6, site 1",616842,"Macular dystrophy, North Carolina type",136550,AD,upstream of PRDM13 and CCNC,DHS6S1
SIM1,"Single-minded, Drosophila, homolog of, 1",603128,"Obesity, severe",601665,"AD,Mu,AR",-,SIM1
"GRIK2, GLUR6, MRT6","Glutamate receptor, ionotropic, kainate 2",138244,"Mental retardation, autosomal recessive, 6",611092,AR,-,GRIK2
"HACE1, KIAA1320, SPPRS",HECT domain- and ankyrin repeat-containing E3 ubiquitin protein ligase 1,610876,Spastic paraplegia and psychomotor retardation with or without seizures,616756,AR,-,HACE1
"BVES, HBVES, POPDC1, LGMD2X",Blood vessel epicardial substance,604577,"?Muscular dystrophy, limb-girdle, type 2X",616812,AR,mutation identified in 1 LGMD2X family,BVES
"ATG5, APG5, APG5L, ASP, SCAR25","Autophagy 5, S. cerevisiae, homolog of",604261,"?Spinocerebellar ataxia, autosomal recessive 25",617584,AR,mutation identified in one SCAR25 family,ATG5
"RTN4IP1, NIMP, OPA10",Reticulon 4-interacting protein 1,610502,"Optic atrophy 10 with or without ataxia, mental retardation, and seizures",616732,AR,-,RTN4IP1
"PDSS2, DLP1, C6orf210, COQ10D3","Prenyl diphosphate synthase, subunit 2",610564,"Coenzyme Q10 deficiency, primary, 3",614652,AR,-,PDSS2
"SOBP, JXC1, MRAMS","Sine oculis-binding protein, Drosophila, homolog of",613667,"Mental retardation, anterior maxillary protrusion, and strabismus",613671,AR,-,SOBP
"SEC63, PCLD2","Sec63, S. cerevisiae, homolog of",608648,Polycystic liver disease 2,617004,AD,-,SEC63
"OSTM1, GL, OPTB5","Osteopetrosis associated transmembrane protein 1 (grey-lethal, mouse, homolog of)",607649,"Osteopetrosis, autosomal recessive 5",259720,AR,-,OSTM1
"CD164, DFNA66",CD164 antigen,603356,"?Deafness, autosomal dominant 66",616969,AD,mutation identified in 1 DFNA66 family,CD164
"ZBTB24, PATZ2, ZNF450, KIAA0441, ICF2",Zinc finger- and BTB domain-containing protein 24,614064,Immunodeficiency-centromeric instability-facial anomalies syndrome-2,614069,AR,-,ZBTB24
"FIG4, KIAA0274, SAC3, ALS11, YVS, BTOP","Fig4, S. cerevisiae, homolog of",609390,"?Polymicrogyria, bilateral temporooccipital",612691,AR,mutation identified in 1 BTOP family,FIG4
"FIG4, KIAA0274, SAC3, ALS11, YVS, BTOP","Fig4, S. cerevisiae, homolog of",609390,Amyotrophic lateral sclerosis 11,612577,AD,-,FIG4
"FIG4, KIAA0274, SAC3, ALS11, YVS, BTOP","Fig4, S. cerevisiae, homolog of",609390,"Charcot-Marie-Tooth disease, type 4J",611228,AR,-,FIG4
"FIG4, KIAA0274, SAC3, ALS11, YVS, BTOP","Fig4, S. cerevisiae, homolog of",609390,Yunis-Varon syndrome,216340,AR,-,FIG4
"TRAF3IP2, C6orf5, ACT1, CIKS, C6orf4, C6orf6, PSORS13, CANDF8",TRAF3-interacting protein 2,607043,"?Candidiasis, familial, 8",615527,AR,mutation identified in 1 family with CANDF8,TRAF3IP2
"TRAF3IP2, C6orf5, ACT1, CIKS, C6orf4, C6orf6, PSORS13, CANDF8",TRAF3-interacting protein 2,607043,{Psoriasis susceptibility 13},614070,-,-,TRAF3IP2
"WISP3, PPAC, PPD",Wnt-1 inducible signaling pathway protein 3,603400,"Arthropathy, progressive pseudorheumatoid, of childhood",208230,AR,-,WISP3
